ProteinAccessions	ProteinDescriptions	MolecularWeight	NrOfModifiedSequencesIdentifiedExperimentwide	is_SEC_Candidate	NrOfModifiedSequencesIdentified_SEC_fraction_47	NrOfModifiedSequencesIdentified_SEC_fraction_53	NrOfModifiedSequencesIdentified_SEC_fraction_54	NrOfModifiedSequencesIdentified_SEC_fraction_55	NrOfModifiedSequencesIdentified_SEC_fraction_56	NrOfModifiedSequencesIdentified_SEC_fraction_57	NrOfModifiedSequencesIdentified_SEC_fraction_58	NrOfModifiedSequencesIdentified_SEC_fraction_59	NrOfModifiedSequencesIdentified_SEC_fraction_60	NrOfModifiedSequencesIdentified_SEC_fraction_61	NrOfModifiedSequencesIdentified_SEC_fraction_62	NrOfModifiedSequencesIdentified_SEC_fraction_63	NrOfModifiedSequencesIdentified_SEC_fraction_64	NrOfModifiedSequencesIdentified_SEC_fraction_65	IBAQ_SEC_fraction_47	IBAQ_SEC_fraction_53	IBAQ_SEC_fraction_54	IBAQ_SEC_fraction_55	IBAQ_SEC_fraction_56	IBAQ_SEC_fraction_57	IBAQ_SEC_fraction_58	IBAQ_SEC_fraction_59	IBAQ_SEC_fraction_60	IBAQ_SEC_fraction_61	IBAQ_SEC_fraction_62	IBAQ_SEC_fraction_63	IBAQ_SEC_fraction_64	IBAQ_SEC_fraction_65	IBAQ_norm_SEC_fraction_47	IBAQ_norm_SEC_fraction_53	IBAQ_norm_SEC_fraction_54	IBAQ_norm_SEC_fraction_55	IBAQ_norm_SEC_fraction_56	IBAQ_norm_SEC_fraction_57	IBAQ_norm_SEC_fraction_58	IBAQ_norm_SEC_fraction_59	IBAQ_norm_SEC_fraction_60	IBAQ_norm_SEC_fraction_61	IBAQ_norm_SEC_fraction_62	IBAQ_norm_SEC_fraction_63	IBAQ_norm_SEC_fraction_64	IBAQ_norm_SEC_fraction_65	distribution	signal_peptide 
D4GSY0	NH(3)-dependent NAD(+) synthetase	29591.04	4	FALSE	4	4	4	4	3	3	1	1	0	1	1	0	0	0	953.8	472.6	266.9	214.2	191	72.2	4.3	74.8	0	122.9	139.9	0	0	0	1	0.495491717	0.279828056	0.224575383	0.200251625	0.075697211	0.004508283	0.07842315	0	0.128853009	0.146676452	0	0	0		
D4GXK8	Uncharacterized protein	46710.45	10	FALSE	0	0	0	2	5	5	7	7	9	7	6	4	1	0	0	0	0	21.1	190.6	263.4	431.9	734.6	1077.4	1121.1	896.1	538.9	22.3	0	0	0	0	0.018820801	0.170011596	0.234947819	0.385246633	0.655249309	0.961020426	1	0.799304255	0.480688609	0.019891178	0		Sec/SPI
D4GUY1	Molybdopterin adenylyltransferase	20752.38	2	FALSE	2	1	1	1	1	1	1	1	0	0	0	0	0	0	69.1	53.3	95.6	158.4	188.8	92.9	56.2	32	0	0	0	0	0	0	0.365995763	0.282309322	0.506355932	0.838983051	1	0.492055085	0.297669492	0.169491525	0	0	0	0	0	0		
D4GUL7	Proline--tRNA ligase	54942.46	15	FALSE	15	13	14	13	11	8	2	4	2	1	1	1	0	0	1666.2	410.1	351.1	234.4	187.7	99.9	37.9	66.1	51.5	15.1	3.5	32.4	0	0	1	0.246128916	0.210719001	0.14067939	0.112651542	0.059956788	0.022746369	0.039671108	0.030908654	0.009062538	0.002100588	0.019445445	0	0		
D4GUG4	Maltose O-acetyltransferase	20156.46	2	FALSE	2	0	0	1	2	2	2	2	1	1	1	0	0	0	523.4	0	0	30.3	187.4	144.9	410.1	417.7	146	108.5	54.2	0	0	0	1	0	0	0.057890715	0.358043561	0.276843714	0.78353076	0.798051204	0.278945357	0.207298433	0.103553687	0	0	0		
Q48329	A-type ATP synthase subunit E	22024.79	6	FALSE	6	5	5	4	4	3	1	3	1	2	1	1	0	0	757.2	570.4	356.6	321	184.3	41.2	38.4	51.5	27.2	37	89.4	45.3	0	0	1	0.753301638	0.470945589	0.423930269	0.243396725	0.054410988	0.050713154	0.068013735	0.035921817	0.048864237	0.118066561	0.059825674	0	0		
D4GQ22	Oxidoreductase (Aldo-keto reductase family protein)	37975.84	13	FALSE	11	13	13	10	8	4	4	2	1	0	0	0	0	0	1278.4	2195.3	1216.9	569.9	182.8	25.1	34.9	14.9	13.2	0	0	0	0	0	0.582334988	1	0.554320594	0.259600055	0.083268802	0.011433517	0.015897599	0.006787227	0.006012846	0	0	0	0	0		
D4GT16	Geranylgeranylglyceryl phosphate synthase	26473.72	11	FALSE	11	3	4	3	2	2	2	2	0	0	0	0	0	0	31923.3	216.9	221.7	254.7	181.3	57.2	91.9	71.9	0	0	0	0	0	0	1	0.00679441	0.006944771	0.007978498	0.005679237	0.001791795	0.002878775	0.002252273	0	0	0	0	0	0		
D4GXH4	"Peroxiredoxin OsmC, lipoyl-dependent"	14809.15	2	FALSE	1	2	2	1	1	1	1	1	1	1	0	0	0	0	1497.6	405.2	523.2	116	178.5	121.5	126.9	157.6	144.1	214.7	0	0	0	0	1	0.270566239	0.349358974	0.077457265	0.119190705	0.081129808	0.084735577	0.105235043	0.09622062	0.143362714	0	0	0	0		
D4GYK0	NamA family oxidoreductase	39289.45	15	FALSE	15	12	10	4	3	1	1	1	0	1	0	0	0	0	102671.3	2273.2	880.2	234	176.4	18.1	107	291.3	0	5.7	0	0	0	0	1	0.022140559	0.00857299	0.002279118	0.001718104	0.000176291	0.001042161	0.00283721	0	5.55E-05	0	0	0	0		
D4GSQ0	Peptidase M24 family protein	39984.72	9	FALSE	9	8	7	3	4	1	1	0	1	0	0	0	0	0	579.6	55.3	118	145.1	176.3	9.6	9	0	32.6	0	0	0	0	0	1	0.095410628	0.203588682	0.250345066	0.304175293	0.016563147	0.01552795	0	0.056245687	0	0	0	0	0		
D4GZM2	Phosphoribosylamine--glycine ligase	45504.2	25	FALSE	25	7	5	7	3	2	3	2	1	2	0	0	0	0	109856.6	590.2	215.6	216.9	176.3	112.6	129.3	65.2	13.9	38.1	0	0	0	0	1	0.005372458	0.001962558	0.001974392	0.001604819	0.001024973	0.001176989	0.000593501	0.000126529	0.000346816	0	0	0	0		
D4GQB8	UspA domain protein	14058.07	9	FALSE	0	0	0	0	3	6	8	9	9	9	7	2	0	0	0	0	0	0	175.9	636.4	1516.1	3802.7	3168.9	3172.8	1127	169.7	0	0	0	0	0	0	0.046256607	0.167354774	0.398690404	1	0.83332895	0.834354538	0.29636837	0.044626187	0	0		
D4GYB5	Transcription initiation factor IIB	35731.98	16	FALSE	16	10	7	6	4	3	3	2	1	0	0	0	0	0	30597.4	428.5	330.9	154.3	170	222.8	133.8	106	21.8	0	0	0	0	0	1	0.014004458	0.010814644	0.005042912	0.005556028	0.007281664	0.004372921	0.003464347	0.000712479	0	0	0	0	0		
D4GUQ7	IclR family transcription regulator	28333.96	11	FALSE	11	2	3	6	8	6	4	6	3	0	1	0	0	0	3195.5	74.9	50.6	134.9	168.7	118.9	111.7	143.2	79.4	0	23.8	0	0	0	1	0.023439211	0.015834768	0.042215616	0.05279299	0.037208575	0.034955406	0.044813018	0.024847442	0	0.007447974	0	0	0		
D4GYV1	FAD-dependent oxidoreductase	41797.5	8	FALSE	7	5	4	3	6	0	0	0	1	0	1	1	1	1	291.1	148.2	30.2	94.4	166.3	0	0	0	86.5	0	443.7	912.8	1157.5	1869.8	0.1556851	0.079259814	0.01615146	0.050486683	0.088939994	0	0	0	0.046261632	0	0.237298107	0.488180554	0.619050166	1		
Q977V2	Signal recognition particle 54 kDa protein	50918.21	18	FALSE	17	10	11	12	7	8	3	3	3	1	0	0	0	0	3226.7	172.7	139.4	227	166	596	830.3	609	658	5.6	0	0	0	0	1	0.053522174	0.043202033	0.070350513	0.05144575	0.184708836	0.257321722	0.18873772	0.203923513	0.001735519	0	0	0	0		
D4GZE4	Phosphohexomutase (Phosphoglucomutase / phosphomannomutase)	48465.78	40	FALSE	40	5	0	2	4	1	1	2	1	2	1	0	0	0	29838.4	93.1	0	277.5	165.4	201.4	5235.1	327.2	213.7	401.8	279.6	0	0	0	1	0.00312014	0	0.009300097	0.005543193	0.006749692	0.175448415	0.010965735	0.007161912	0.013465869	0.009370476	0	0	0		
D4GPF6	histidine kinase	144236.38	12	FALSE	7	10	10	11	11	10	9	10	10	8	6	4	1	1	96.7	99.9	131.3	167.3	164.6	131.9	127.8	138.3	135.9	179.7	100	52.2	13.6	14.7	0.538119087	0.555926544	0.730662215	0.930996105	0.915971063	0.734001113	0.711185309	0.769616027	0.756260434	1	0.556483027	0.29048414	0.075681692	0.081803005		
D4GTF1	DUF1486 family protein	13795.35	13	FALSE	0	0	0	3	4	7	9	11	11	13	13	13	13	10	0	0	0	18.4	164.2	513	2871.1	10589.7	20584.5	57316	53504.1	50639.5	28667.1	16863.7	0	0	0	0.000321027	0.00286482	0.00895038	0.05009247	0.184759927	0.359140554	1	0.933493265	0.883514202	0.500158769	0.294223254		
A0A8D4B6T1	CopG family transcriptional regulator	13714.1	3	FALSE	3	1	1	1	3	1	1	1	1	1	1	0	0	0	986.3	139	133.1	171.2	161.5	103.8	87.1	148.8	67	83	36.5	0	0	0	1	0.140930751	0.134948799	0.173578019	0.163743283	0.105241813	0.088309845	0.150866876	0.06793065	0.084152895	0.037006996	0	0	0		
D4GTS7	NP_1176A family transcription regulator	10204.41	7	FALSE	0	0	0	1	2	2	0	0	0	2	5	6	6	7	0	0	0	210.6	160.3	53	0	0	0	76.9	896	4864.8	10271.6	21266.6	0	0	0	0.009902852	0.007537641	0.002492171	0	0	0	0.003615999	0.042131794	0.228753068	0.48299211	1		
D4GW30	DUF88 family protein	18225.49	6	FALSE	0	0	2	2	4	6	6	6	6	6	5	4	3	1	0	0	163.8	99.8	157.8	693.3	1770	3624.3	3653.6	5127.9	2740.8	1383	383.5	69.4	0	0	0.031942901	0.019462158	0.030772831	0.135201544	0.345170538	0.706780553	0.712494393	1	0.534487802	0.269701047	0.07478695	0.013533805		
D4GTT0	Amidohydrolase domain protein	29991.63	17	FALSE	17	8	5	7	5	3	2	1	1	0	0	0	0	0	59808.7	550.6	337.3	309	157	64	76.5	12.1	6.2	0	0	0	0	0	1	0.009206019	0.005639648	0.005166472	0.002625036	0.001070078	0.001279078	0.000202312	0.000103664	0	0	0	0	0		
D4GVE0	Probable thymidylate kinase	21866.13	18	FALSE	18	12	9	3	3	2	2	0	0	1	0	0	1	0	108141.6	414.6	158.7	84.3	155.5	10.1	38.7	0	0	89.9	0	0	119.8	0	1	0.003833862	0.00146752	0.000779534	0.00143793	9.34E-05	0.000357864	0	0	0.000831317	0	0	0.001107807	0		
D4H031	Probable cell surface fusion protein HVO_0405	69803.56	7	FALSE	0	0	1	2	1	3	5	7	6	5	5	3	2	0	0	0	28.4	118.7	155.5	358.5	647.2	1604.1	1620.4	2303.5	1728.6	1142.4	632.3	0	0	0	0.012329064	0.05153028	0.067505969	0.155632733	0.280963751	0.696375081	0.70345127	1	0.750423269	0.495940959	0.274495333	0		Tat/SPI
D4GTD4	Translation initiation factor 2 subunit gamma	43940.99	24	FALSE	24	8	7	5	5	3	1	3	1	1	0	1	0	0	55502.3	220.3	153.6	145.3	154.8	150.3	60.1	87.2	22.6	58.6	0	43.1	0	0	1	0.003969205	0.002767453	0.00261791	0.002789074	0.002707996	0.001082838	0.001571106	0.00040719	0.001055812	0	0.000776544	0	0		
D4GYH8	S-adenosylmethionine-dependent methyltransferase	19969.02	3	FALSE	3	0	2	2	3	2	3	2	2	2	0	0	0	0	1245	0	16.5	54	148.9	296	357.7	414.4	186.2	117.7	0	0	0	0	1	0	0.013253012	0.043373494	0.119598394	0.237751004	0.287309237	0.332851406	0.149558233	0.094538153	0	0	0	0		
D4GTE3	acetyl-CoA C-acyltransferase	39973.2	11	FALSE	11	9	7	5	4	1	4	3	2	0	0	0	0	0	3849.5	552.5	285.5	195.2	145.4	16.2	46.2	30.4	23.5	0	0	0	0	0	1	0.143525133	0.074165476	0.050707884	0.037771139	0.004208339	0.012001559	0.007897129	0.006104689	0	0	0	0	0		
D4GP52	ATP-dependent cobaltochelatase subunit CobN	141254.46	20	FALSE	17	16	14	15	14	14	12	15	7	10	4	3	1	0	274	109	97	133.8	143.2	132.7	173.9	205.4	60.2	146.4	36.8	27	5	0	1	0.397810219	0.354014599	0.488321168	0.522627737	0.484306569	0.634671533	0.749635036	0.219708029	0.534306569	0.134306569	0.098540146	0.018248175	0		
D4GS22	Hsp20-type molecular chaperone	13333.49	2	FALSE	0	0	0	1	2	2	2	2	2	1	1	1	0	0	0	0	0	23.2	142.9	95.1	132.9	257.7	251.5	411.6	392.5	215.7	0	0	0	0	0	0.056365403	0.34718173	0.231049563	0.322886297	0.626093294	0.611030126	1	0.953595724	0.524052478	0	0		
D4GUD8	Amine oxidase domain protein	46163.31	5	FALSE	4	5	3	3	4	4	2	5	4	4	4	0	1	0	58.5	82.2	46.2	63.3	142.5	78.7	12.2	121.9	111.9	66.5	59.4	0	10.9	0	0.410526316	0.576842105	0.324210526	0.444210526	1	0.552280702	0.085614035	0.855438596	0.785263158	0.466666667	0.416842105	0	0.076491228	0		
D4GP97	UspA domain protein	17036.84	8	FALSE	8	4	5	3	3	3	2	1	0	0	0	0	0	0	9119.5	144.2	119.6	202.6	142.2	129.4	108	28.7	0	0	0	0	0	0	1	0.01581227	0.013114754	0.02221613	0.01559296	0.014189374	0.011842755	0.003147102	0	0	0	0	0	0		
D4GWM2	PhoU domain protein	36721.03	20	FALSE	20	12	11	9	7	4	1	2	1	2	0	0	0	0	25136.5	1232.2	542.5	310.1	139.3	51.8	23.3	35.9	12.6	13.7	0	0	0	0	1	0.049020349	0.021582161	0.012336642	0.005541742	0.002060748	0.000926939	0.001428202	0.000501263	0.000545024	0	0	0	0		
D4GQH4	ABC-type transport system ATP-binding protein (Probable substrate sugar)	43459.77	5	FALSE	5	2	2	2	1	2	2	1	2	1	0	0	0	0	8019.9	179.6	202.6	153.7	136.5	96.8	79.5	53.2	78.7	48.7	0	0	0	0	1	0.022394294	0.02526216	0.019164827	0.017020162	0.012069976	0.009912842	0.006633499	0.00981309	0.006072395	0	0	0	0		
D4GVC4	Formyltetrahydrofolate deformylase	36182.4	7	FALSE	7	3	1	2	3	3	3	2	2	1	0	1	1	1	871.2	157.5	7.6	33.7	134.6	5.2	64.8	67.6	40.3	34.5	0	41	46	170.8	1	0.180785124	0.0087236	0.038682277	0.154499541	0.005968779	0.074380165	0.077594123	0.046258035	0.039600551	0	0.047061524	0.052800735	0.196051423		
D4GZW0	proline dehydrogenase	30920.47	5	FALSE	0	3	4	5	5	5	5	4	5	5	2	1	0	1	0	72	59.4	92.4	134	86.5	99.6	158.1	161	285.6	129.7	44.4	0	14.4	0	0.25210084	0.207983193	0.323529412	0.469187675	0.302871148	0.348739496	0.553571429	0.56372549	1	0.454131653	0.155462185	0	0.050420168		
D4GXZ3	Phosphomevalonate decarboxylase	35417.01	3	FALSE	1	3	2	3	3	2	3	1	0	1	1	0	0	0	195.1	153.5	99.9	130.9	132.6	80.7	96.7	65.2	0	289.8	262.9	0	0	0	0.673222912	0.529675638	0.344720497	0.451690821	0.457556936	0.278467909	0.333678399	0.224982747	0	1	0.907177364	0	0	0		
D4GUM8	CARDB domain-containing protein	56991.89	3	FALSE	1	1	2	2	2	2	2	2	1	0	0	0	0	0	9.3	59.9	56.9	167.6	130.9	137.2	117.8	126.5	34.3	0	0	0	0	0	0.05548926	0.357398568	0.339498807	1	0.781026253	0.818615752	0.702863962	0.75477327	0.204653938	0	0	0	0	0		Sec/SPI
D4GT00	YqjG-type gamma-glutamylcysteinyl-hydroquinone reductase	38087.1	15	FALSE	15	12	13	11	7	4	1	3	0	1	0	0	0	0	1716.1	397.6	461.2	329	130.6	49.1	4.9	37.5	0	5	0	0	0	0	1	0.23168813	0.268748907	0.19171377	0.076102791	0.028611386	0.002855311	0.021851873	0	0.002913583	0	0	0	0		
D4GX67	Uncharacterized protein	31867.08	2	FALSE	2	2	2	2	2	2	2	2	1	1	1	1	2	2	543.6	81.8	98.3	149.8	128.4	199.2	288	325.4	280.2	291.3	234.8	277.6	232.3	542.3	1	0.150478293	0.180831494	0.275570272	0.236203091	0.366445916	0.529801325	0.598601913	0.515452539	0.535871965	0.431935247	0.51066961	0.427336277	0.997608536		
D4GY90	ABC-type transport system periplasmic substrate-binding protein	45350.34	4	FALSE	4	2	1	2	1	1	1	1	1	1	1	1	1	1	833.7	201.5	38	90.3	125.1	121.7	153.7	128.3	132.1	323.6	316	476.6	592	914.4	0.911745407	0.22036308	0.041557305	0.098753281	0.136811024	0.133092738	0.168088364	0.140310586	0.144466317	0.353893263	0.345581802	0.521216098	0.647419073	1		Tat/SPII
D4GW23	tRNA-splicing ligase RtcB	53433.66	38	FALSE	38	19	16	12	9	4	2	1	0	0	1	1	1	0	90073.4	1782.3	812.4	422.6	123.2	8.1	28	4.8	0	0	21.1	51.4	103.5	0	1	0.019787196	0.009019311	0.004691729	0.001367773	8.99E-05	0.000310858	5.33E-05	0	0	0.000234253	0.000570646	0.001149063	0		
D4GUL5	GalE family epimerase/dehydratase	36094.7	38	FALSE	38	18	13	11	9	7	2	3	0	0	0	0	0	0	113260.9	1141.2	360.1	211.9	122.8	15.8	26.1	50.5	0	0	0	0	0	0	1	0.010075851	0.003179385	0.001870902	0.001084222	0.000139501	0.000230441	0.000445873	0	0	0	0	0	0		
D4GUS7	IclR family transcription regulator	30078.68	20	FALSE	20	8	4	8	8	5	4	5	2	4	1	0	0	0	4049.2	104.5	36.3	36.2	122.7	47.2	42.2	51.4	27.3	48.2	15.3	0	0	0	1	0.025807567	0.008964734	0.008940038	0.030302282	0.011656624	0.010421812	0.012693865	0.006742073	0.011903586	0.003778524	0	0	0		
D4GTQ1	Zinc finger mu-protein HVO_0758	6482.35	4	FALSE	0	0	0	0	1	1	1	1	2	3	4	4	4	4	0	0	0	0	122.6	33.8	164.5	445	1055.4	3310.1	8734.8	21953.6	46404.3	94643.3	0	0	0	0	0.00129539	0.00035713	0.001738105	0.004701865	0.011151344	0.034974478	0.092291795	0.231961481	0.490307291	1		
D4GT80	Small ribosomal subunit protein eS17	6973.96	8	FALSE	0	0	1	1	1	2	3	3	4	5	5	7	8	8	0	0	44.5	18.3	122	66.8	205.3	1280.3	2213.1	8831.3	20853.2	61176.6	189109	750008.5	0	0	5.93E-05	2.44E-05	0.000162665	8.91E-05	0.00027373	0.001707047	0.002950767	0.011774933	0.027803952	0.081567876	0.252142476	1		
D4GTG1	D-2-hydroxyacid dehydrogenase (NADP)	33000.91	14	FALSE	14	8	5	6	7	5	2	4	2	0	0	0	0	0	2991.8	252.2	36.6	170.4	121.3	7.2	18.3	38.7	20	0	0	0	0	0	1	0.084297079	0.012233438	0.056955679	0.040544154	0.002406578	0.006116719	0.012935357	0.006684939	0	0	0	0	0		
D4GXF0	fructose-bisphosphatase	28698.5	24	FALSE	24	14	11	9	6	5	2	2	1	1	0	0	0	0	66901.5	1070	784.2	437.8	120.6	191.4	8.3	77.2	362.4	75.7	0	0	0	0	1	0.015993662	0.01172171	0.006543949	0.00180265	0.002860922	0.000124063	0.001153935	0.005416919	0.001131514	0	0	0	0		
D4GUV5	Oxoglutarate--ferredoxin oxidoreductase alpha subunit	64026.24	8	FALSE	8	7	5	5	6	5	4	6	3	3	1	1	1	0	276.1	55.3	38.3	85.3	120.5	74.4	62.6	82	23.3	59.4	19.7	17.6	15.8	0	1	0.20028975	0.138717856	0.308946034	0.436436074	0.269467584	0.226729446	0.296993843	0.084389714	0.215139442	0.07135096	0.06374502	0.057225643	0		
D4GVY7	Type I site-specific deoxyribonuclease subunit RmeS	46004.68	18	FALSE	18	12	10	11	7	4	2	3	0	0	0	0	0	0	1842.2	171.4	124	197.9	116.9	95	59.3	47.3	0	0	0	0	0	0	1	0.093040929	0.067310824	0.107425904	0.063456737	0.051568776	0.032189773	0.025675822	0	0	0	0	0	0		
D4GYS2	uroporphyrinogen-III C-methyltransferase	30488.77	26	FALSE	26	15	12	9	6	2	0	1	2	2	0	0	0	0	95755.4	1378.3	727.7	392.3	111	16.5	0	6.5	16	34.5	0	0	0	0	1	0.014393966	0.007599571	0.004096897	0.001159204	0.000172314	0	6.79E-05	0.000167092	0.000360293	0	0	0	0		
D4GWK9	Carbamoyl phosphate synthase large chain	117301.92	7	FALSE	5	5	5	5	5	4	4	2	3	3	2	1	0	0	205.9	25.5	69.1	215.2	110.8	111.6	547.7	134.4	88.9	79.4	2.4	17.5	0	0	0.375935731	0.046558335	0.126163958	0.39291583	0.202300529	0.203761183	1	0.245389812	0.162315136	0.144969874	0.004381961	0.031951798	0	0		
D4GVU2	Phosphoribosyltransferase	39646.48	10	FALSE	10	6	6	5	5	3	4	3	0	0	0	0	0	0	1296.5	120	133.5	123.6	105.5	20.6	72.5	38.7	0	0	0	0	0	0	1	0.092556884	0.102969533	0.09533359	0.081372927	0.015888932	0.055919784	0.029849595	0	0	0	0	0	0		
D4GSR4	50S ribosomal protein L37Ae	9888.01	6	FALSE	0	0	2	2	3	5	4	6	6	5	4	1	1	0	0	0	15.8	23	104.3	57.2	141	1191.5	1374.6	1848.9	1273.3	131.5	82.3	0	0	0	0.008545622	0.012439829	0.056411921	0.030937314	0.076261561	0.644437233	0.74346909	1	0.688679756	0.071123371	0.044512954	0		
D4GVU9	Uncharacterized protein	15454.12	6	FALSE	1	0	0	0	3	5	5	6	6	2	1	1	1	1	342	0	0	0	104	321.2	568.9	1263.2	790.7	408	75.5	123.8	181.6	318.1	0.270740975	0	0	0	0.082330589	0.254274858	0.450364155	1	0.625949968	0.322989234	0.059768841	0.098005066	0.143761875	0.251820773		
D4H092	ORC1-type DNA replication protein	45247.3	39	FALSE	39	10	7	5	5	0	2	2	1	1	2	1	0	0	32867.6	40.3	170.4	8.9	104	0	64.8	27.8	28.3	19.6	17.6	10	0	0	1	0.001226132	0.005184437	0.000270783	0.00316421	0	0.001971546	0.000845818	0.00086103	0.000596332	0.000535482	0.000304251	0	0		
D4GVQ6	GFO family oxidoreductase	40027.74	6	FALSE	6	6	5	5	5	5	5	5	2	3	1	1	2	1	1195.5	110	36.6	42.7	102.5	48.4	64.4	57.8	21	63.8	12.2	20.7	36.8	17.4	1	0.092011711	0.030614806	0.035717273	0.085738185	0.040485153	0.053868674	0.048347972	0.017565872	0.053366792	0.010204935	0.017314931	0.0307821	0.01455458		
D4GUA4	Stomatin family protein	46400.52	5	FALSE	3	3	3	1	4	1	1	2	1	1	1	1	0	0	109.2	206.5	141.4	128.9	100.3	24.5	4.1	54.6	23.2	43.5	101.5	123.5	0	0	0.528813559	1	0.684745763	0.624213075	0.485714286	0.118644068	0.019854722	0.26440678	0.112348668	0.210653753	0.491525424	0.598062954	0	0		
D4GYU6	NMD3 family protein	41614.74	19	FALSE	18	6	5	6	6	2	1	2	1	0	0	0	0	0	13163.7	224.1	193.9	134.6	100.1	22.1	0.5	13.8	10.2	0	0	0	0	0	1	0.017024089	0.014729901	0.010225089	0.007604245	0.001678859	3.80E-05	0.001048337	0.000774858	0	0	0	0	0		
D4GW44	Large ribosomal subunit protein eL37	6424.38	2	FALSE	0	0	1	1	1	1	1	1	1	1	1	1	2	2	0	0	49.4	35.2	98.7	92	83	128.2	261.9	754	1032.1	3104.9	8832.6	25183.7	0	0	0.001961586	0.001397729	0.003919202	0.003653157	0.003295783	0.005090594	0.010399584	0.029940001	0.040982858	0.123290065	0.350726859	1		
D4GVR2	ABC-type transport system ATP-binding protein (Probable substrate sugar)	43352.5	13	FALSE	13	3	4	5	4	4	2	1	1	0	0	0	0	0	18569.1	122	114.7	126.7	96.9	20.1	12.3	27.8	33.6	0	0	0	0	0	1	0.006570055	0.006176928	0.006823163	0.005218347	0.001082443	0.000662391	0.001497111	0.001809458	0	0	0	0	0		
D4GY17	2-oxo-3-methylvalerate dehydrogenase E1 component beta subunit	36019.82	7	FALSE	0	0	1	5	5	3	5	7	6	7	3	3	1	1	0	0	9.2	159.6	93.4	42.2	89	148.3	122	317.3	213.3	164.8	21.9	25.1	0	0	0.028994642	0.502994012	0.294358651	0.132997164	0.280491648	0.467381027	0.38449417	1	0.672234478	0.519382288	0.069019855	0.079104948		
D4GZK0	Polyamine aminopropyltransferase	58082.61	3	FALSE	0	0	2	2	2	2	3	3	3	1	1	1	1	1	0	0	32.6	67	92.1	87.5	104.3	219.5	223.9	200.7	213.2	299.3	266.6	157.1	0	0	0.108920815	0.223855663	0.307718009	0.292348814	0.348479786	0.733377882	0.748078851	0.670564651	0.712328767	1	0.890745072	0.524891413		
D4GS73	Aconitate hydratase	102210.43	2	FALSE	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1719	128	118.6	142.6	91.4	35	13.6	8.9	0	0	0	0	0	0	1	0.074461896	0.068993601	0.082955207	0.053170448	0.020360675	0.007911576	0.005177429	0	0	0	0	0	0		
D4GQ24	PPOX family oxidoreductase	14205.99	3	FALSE	0	1	1	1	1	1	3	3	3	3	3	3	2	0	0	34.4	87.7	97.5	90	78.5	195.1	404.9	636.8	1182.7	1040.5	581.4	334.3	0	0	0.02908599	0.074152363	0.082438488	0.076097066	0.066373552	0.164961529	0.342352245	0.538429018	1	0.879766636	0.491587047	0.282658324	0		
D4GY12	Lipoyl synthase	34854.93	3	FALSE	3	3	3	3	3	2	0	1	0	1	2	0	0	0	171.8	218.2	217.5	174.6	87.6	30.3	0	34.6	0	27.6	19.5	0	0	0	0.787351054	1	0.996791934	0.800183318	0.401466544	0.138863428	0	0.158570119	0	0.126489459	0.089367553	0	0	0		
D4GYT7	DUF2795 domain-containing protein	10433.43	8	FALSE	0	0	0	0	1	2	3	7	8	8	8	8	7	6	0	0	0	0	87.6	91	196.7	1606.4	2847.3	8509.1	11105.7	10575.8	8892.4	6262.1	0	0	0	0	0.007887841	0.00819399	0.017711626	0.144646443	0.256381858	0.766192136	1	0.952285763	0.800705944	0.563863602		
D4GYN9	Putative [LysW]-aminoadipate/[LysW]-glutamate kinase	33200.07	10	FALSE	10	6	7	4	2	2	1	1	1	1	0	0	0	0	17749.4	1545.9	843.8	182	82.8	16.9	14.2	7.4	106.4	7.9	0	0	0	0	1	0.087095902	0.047539635	0.010253868	0.004664946	0.000952145	0.000800027	0.000416916	0.005994569	0.000445085	0	0	0	0		
D4GSX3	M50 family metalloprotease	62002.94	2	FALSE	2	2	2	2	2	2	1	1	1	0	0	0	0	0	160.5	275.6	101.9	248.3	82.7	26.3	20.5	22.2	26.7	0	0	0	0	0	0.582365747	1	0.369738752	0.900943396	0.300072569	0.095428157	0.074383164	0.080551524	0.096879536	0	0	0	0	0		
D4GP71	Succinate-semialdehyde dehydrogenase	50117.71	19	FALSE	17	0	1	2	2	2	2	4	0	1	1	1	0	0	3707.3	0	17.5	53.1	80	66.2	21.7	27.8	0	64.7	76.8	83.3	0	0	1	0	0.004720416	0.014323092	0.021579047	0.017856661	0.005853316	0.007498719	0	0.017452054	0.020715885	0.022469182	0	0		
D4GYQ0	CBS domain protein	30853.48	11	FALSE	11	11	10	7	3	3	2	2	1	1	0	0	0	0	1750.8	720.5	390.1	205.4	79.9	47.6	22.9	10.7	4.7	15.4	0	0	0	0	1	0.411526159	0.222812429	0.117317798	0.045636281	0.027187571	0.013079735	0.006111492	0.002684487	0.008795979	0	0	0	0		
D4GUZ0	GTP-binding protein Drg	40478.57	48	FALSE	48	24	13	10	4	3	5	2	1	0	0	0	0	0	92446.6	645.3	173	158.3	78.9	107.9	16.5	49.2	5.7	0	0	0	0	0	1	0.006980246	0.001871351	0.00171234	0.000853466	0.00116716	0.000178481	0.000532199	6.17E-05	0	0	0	0	0		
